name,rating,tags,similar
@home,4.2,Furniture & Furnishing,
india family mart,3.9,"Internet, Retail, Startup",
1k networks,3.3,Retail,
1point1 solutions,3.3,"Law Enforcement & Security, BPO, IT Services & Consulting, Public",
20 microns,3.8,"Chemicals, Public",
24-7 intouch,3.2,"BPO/KPO, BPO",
24/7 customer,3.6,"Internet, Analytics & KPO, IT Services & Consulting, Software Product",
24seven,4.5,Retail,
2coms,3.7,Recruitment,
3 gen consulting,3,"Consulting, Healthcare",
31 parallel,3.1,BPO,
360 degree cloud technologies,3,IT Services & Consulting,
360 realtors,3.6,"Consulting, Real Estate",
3dplm software solutions,4.1,"IT Services & Consulting, Software Product",
3f industries,4,"Food Processing, Import & Export, Power, Conglomerate, Public",
3i infotech,3.6,"IT Services & Consulting, Public",
3m,4.3,"Consumer goods, FMCG, Electronics, Conglomerate, Forbes Global 2000, Fortune India 500, Public",
4i apps solutions,4.2,IT Services & Consulting,
5paisa capital,3.8,"Financial Services, Startup, Public",
63 moons technologies,4,"IT Services & Consulting, Software Product, Public",
6d technologies,3.9,Telecom,
75way technologies,4.8,"IT Services & Consulting, Software Product",
7search ppc,4.7,"IT Services & Consulting, Marketing & Advertising",
94.3 my fm,3.8,Broadcasting,
99acres,3.9,"Internet, Real Estate, Public",
a-1 fence products,3.8,"Building Material, Industrial Machinery, Electronics Manufacturing",
a-check global,3.9,Consulting,
a-i enterprises,3.9,"Retail, Fashion & Textile",
a.b.shetty memorial institute of dental sciences,6,,
a.k.automatics,3.7,"Manufacturing, Auto Components",
a.o. smith,4.2,"Manufacturing, Electronics, Consumer Electronics & Appliances",
a.t.e. enterprises,4.1,Industrial Machinery,
a&a business consulting,4,"Consulting, Management Consulting",
a2z group,3.9,Engineering & Construction,
a2z infraservices,4,"BPO/KPO, Consulting, Facility Management Services, Public",
a3logics,3.4,IT Services & Consulting,
aaa capital services,3.2,Financial Services,
aabasoft,4.4,"Financial Services, IT Services & Consulting",
aabsys it,4.1,"IT Services & Consulting, Software Product",
aachi foods,4,"FMCG, Manufacturing, Retail",
aadhar housing finance,4.1,"Financial Services, NBFC",
aagna global solutions,3.4,"BPO/KPO, BPO",
aaj enterprises,3.9,Logistics,
aak kamani,4.4,Food Processing,
aakash educational services,3.7,EdTech,
aakash global foods,4.5,"FMCG, Import & Export, Retail",
aakash hospital,3.9,Healthcare,
aamby valley city,3.7,"Real Estate, Public",
aapna infotech,4.7,IT Services & Consulting,
aargee staffing services,3.9,Recruitment,
aarti drugs,3.9,"Manufacturing, Pharma, Public",
aarti industries,4.2,"Chemicals / Agri Inputs, Manufacturing, Chemicals, Fortune India 500, Public",
aarti steels,4,"Iron & Steel, Manufacturing, Public",
aarvee associates,3.8,"Architecture & Interior Design, Consulting, Engineering & Construction",
aarvi encon,4.1,"BPO, Public",
aashman foundation,3.6,Not Available,
aavas financiers ,4,"Financial Services, Public",
ab inbev,3.9,"Consumer goods, Food Processing, Beverage, Forbes Global 2000, Public",
ab mauri india,4,FMCG,
abb gisl,4.2,Electrical Equipment,
abb group,4.1,"Manufacturing, Electronics, Electrical Equipment, Forbes Global 2000, Fortune India 500, Public",
abbott healthcare,4.1,"Healthcare / Pharma, Media & Entertainment / Publishing, Pharma, Conglomerate, Forbes Global 2000, Fortune India 500, Public",
abbott nutrition international,4.1,Pharma,
